

gen best mean std
0 75.021114 1.755912 16.275216
1 75.021114 5.053586 18.335856
2 75.021114 8.260037 18.597885
3 75.021114 12.8156 20.685664
4 87.579599 17.984246 22.53242
5 87.579599 22.155781 21.616644
6 87.579599 23.88176 20.570639
7 87.579599 25.464508 19.916972
8 87.579599 28.200844 19.989948
9 87.579599 30.37892 19.632383
10 87.579599 31.439079 19.298734
11 87.579599 32.655817 19.128461
12 87.579599 33.4999 18.811389
13 87.579599 33.680225 18.692006
14 87.579599 35.434016 18.680683
15 87.624051 36.797206 18.802343
16 87.624051 37.410999 18.795035
17 87.624051 38.061773 19.009896
18 87.624051 38.740845 18.867036
19 87.624051 39.495633 18.813063
20 87.624051 41.643265 19.751624
21 87.624051 41.809728 19.661648
22 87.624051 42.89491 19.467223
23 87.624051 43.67501 19.431123
24 87.624051 44.60575 19.145644
25 87.624051 45.079746 18.769321
26 87.624051 46.745946 18.016591
27 87.624051 46.745946 18.016591
28 87.624051 46.745946 18.016591
29 87.624051 47.251226 17.742605
