

gen best mean std
0 57.031292 -1.952821 10.377247
1 74.929262 8.062993 20.255206
2 74.929262 21.860087 25.435646
3 84.954865 34.855941 25.459632
4 88.428859 48.614951 25.864512
5 89.723414 56.841606 23.267762
6 89.723414 59.36028 21.814431
7 89.723414 60.205037 23.396906
8 89.723414 62.718662 21.996607
9 90.452892 63.374553 20.268953
10 90.452892 59.258712 23.770801
11 90.452892 63.341855 22.167078
12 90.756796 64.079144 22.67861
13 90.756796 65.0284 21.934089
14 90.756796 67.630623 20.528344
15 90.756796 68.711786 18.168359
16 90.756796 68.497702 18.520734
17 90.756796 68.710688 19.998929
18 90.756796 68.198628 18.779127
19 90.756796 67.227443 20.036065
