

gen best mean std
0 57.98272 0.602284 14.44357
1 66.228559 11.945662 21.516588
2 74.966914 28.91073 23.906927
3 86.335744 40.123253 23.168305
4 87.537882 50.673787 22.592909

gen best mean std
4 87.537882 50.673787 22.592909
5 88.952892 55.061154 22.290767
6 89.763229 57.194435 22.341849
7 89.763229 59.31523 21.322011
8 89.763229 62.205849 21.995074
9 89.950924 65.870715 20.47972
10 89.950924 67.414762 20.628659
11 90.511733 65.389421 21.363853
12 90.511733 65.847244 20.795583
13 90.511733 66.877451 20.927324
14 90.511733 68.732296 21.222844
15 90.632892 73.738809 17.590611
16 90.632892 73.246275 18.510556
17 90.632892 72.365501 18.746544
18 90.632892 72.630138 17.286938
19 90.632892 70.105458 20.51028
