

gen best mean std
0 57.98272 0.602284 14.44357
1 66.256997 14.204637 22.001539
2 85.670607 35.212176 22.998153
3 87.139358 37.90528 25.472472
4 89.546611 49.852734 22.123271
5 89.546611 51.98252 22.959757
6 89.546611 57.134425 21.76808
7 89.546611 63.36901 22.986683
8 90.139361 65.132712 22.405805
9 90.139361 65.849542 20.959524
10 90.139361 66.371257 22.574733
11 90.139361 66.620932 24.555561
12 90.148354 68.985492 24.230177
13 90.148354 71.428838 20.68943
14 90.148354 72.00965 21.108699
15 90.148354 69.199109 23.753407
16 90.148354 71.391174 21.037546
17 90.148354 71.729841 21.922234
18 90.148354 67.262358 25.329052
19 90.148354 68.590482 24.743947
