

gen best mean std
0 12.225448 -3.948585 4.471482
1 39.266659 3.020579 11.069323
2 57.502832 10.332279 14.083289
3 57.502832 15.623945 15.955361
4 57.502832 20.117178 16.429623
5 57.643414 26.904469 17.368505
6 66.306268 29.064312 17.147678
7 66.943754 32.483491 15.929631
8 75.566278 39.853425 17.515824
9 84.913573 44.415543 20.531788
10 85.952892 51.686658 22.046059
11 87.27289 58.082671 18.086881
12 87.27289 63.698595 17.551481
13 87.27289 63.452154 17.543508
14 88.731655 64.146804 18.899033
15 88.731655 64.181537 20.558997
16 88.731655 70.804723 13.492119
17 88.731655 68.83556 14.719374
18 88.731655 70.464983 14.329156
19 88.731655 72.451479 14.727003
