

gen best mean std
0 30.829516 -2.0831 7.990615
1 48.638708 2.839226 13.534553
2 48.870101 18.707692 16.208744
3 57.634024 31.863021 16.536646
4 57.634024 38.85635 15.832758
5 57.634024 42.393327 13.011111
6 57.634024 42.39339 13.34185
7 75.462666 44.343208 13.447608
8 75.462666 45.930939 12.756001
9 75.462666 44.664268 15.990655
10 75.462666 49.048641 13.987516
11 75.462666 53.006791 16.037673
12 75.462666 58.195826 13.285288
13 75.648142 62.877802 12.21771
14 85.356168 66.82511 11.927313
15 85.536168 64.546593 14.655171
16 85.536168 67.277771 13.620054
17 85.536168 67.335831 12.848934
18 85.536168 64.336924 13.684677
19 85.536168 62.736661 14.620196
