

gen best mean std
0 25.905882 -3.887378 7.45388
1 26.053411 4.36048 10.404204
2 36.000355 15.195353 9.547577
3 38.219296 22.465092 6.751837
4 38.219296 25.49663 6.18724
5 46.406909 28.925049 6.889138
6 46.406909 30.888813 7.439913
7 52.111526 33.713324 8.39997
8 52.111526 34.06484 10.779812
9 52.111526 33.277946 12.065194
10 52.321004 34.871758 13.500517
11 52.321944 38.138676 12.672554
12 52.321944 39.807686 12.901142
13 52.321944 38.795647 14.121982
14 52.321944 39.158945 14.322385
15 53.491874 41.63815 13.5377
16 53.491874 43.40966 12.161625
17 53.491874 44.164939 11.355806
