

gen best mean std
0 20.900557 -4.288417 5.671995
1 27.690582 1.610306 8.935364
2 28.314572 7.734603 10.239305
3 33.756834 14.375264 9.340266
4 35.233249 15.998949 10.214207
5 60.012065 20.433576 11.431576
6 60.012065 24.697241 13.648981
7 60.012065 27.183854 16.724299
8 60.012065 35.863215 18.231067
9 60.012065 42.357016 17.30141
10 60.012065 46.945253 15.629719
11 60.012065 47.315718 16.604478
12 60.012065 49.238308 15.395428
13 62.84035 46.131316 17.231898
14 62.84035 48.599082 16.38488
15 83.422078 51.371472 14.439178
16 83.422078 51.453663 15.950111
17 83.422078 53.211264 16.537792
18 83.422078 53.285541 19.200579
19 83.422078 58.388174 19.788598
20 83.422078 62.095925 21.044295
21 83.422078 60.907721 22.368807
22 83.422078 67.639681 18.980585
23 83.422078 65.918852 20.762984
24 83.422078 65.180067 20.397842
25 83.422078 67.480973 19.641714
26 83.422078 67.774257 19.035542
27 85.975897 70.108809 17.346499
28 85.975897 70.967586 16.547846
29 85.975897 73.059509 14.310249
