

gen best mean std
0 57.16227 -1.931992 8.537103
1 57.16227 -1.931992 9.594216
2 57.16227 -1.931992 13.072488
3 57.16227 -1.931992 15.302739
4 57.16227 -1.931992 17.733426
5 57.16227 -1.931992 21.967209
6 57.601837 -1.931992 23.018278
7 57.601837 -1.931992 24.341105
8 75.16227 -1.931992 24.208759
9 75.16227 -1.931992 25.588583
10 75.16227 -1.931992 27.079054
11 75.16227 -1.931992 26.376131
12 75.16227 -1.931992 29.277393
13 75.16227 -1.931992 27.481161
14 75.16227 -1.931992 31.101385
15 75.16227 -1.931992 30.781734
16 75.16227 -1.931992 31.120322
17 75.16227 -1.931992 29.771335
18 75.16227 -1.931992 31.753506
NOT IMPROVING !!!!!!
19 75.16227 -1.931992 31.901873
20 75.16227 -1.931992 30.406208
21 75.16227 -1.931992 31.545642
22 75.16227 -1.931992 32.182985
23 75.16227 -1.931992 29.858441
24 75.16227 -1.931992 27.055749
25 75.16227 -1.931992 32.074245
26 75.16227 -1.931992 31.061143
