

gen best mean std
0 57.16227 -2.489797 8.648055
1 57.16227 -2.489797 11.791037
2 57.16227 -2.489797 13.965331
3 57.16227 -2.489797 16.869966
4 66.601837 -2.489797 19.693551
5 66.601837 -2.489797 25.963068
6 66.601837 -2.489797 29.540739
7 66.601837 -2.489797 30.110581
8 66.601837 -2.489797 28.590309
9 66.601837 -2.489797 32.888262
10 66.601837 -2.489797 33.459786
11 66.601837 -2.489797 27.526195
12 75.601837 -2.489797 33.083884
13 75.601837 -2.489797 31.043125
14 75.601837 -2.489797 35.090384
15 75.601837 -2.489797 32.699658
16 75.601837 -2.489797 29.702079
17 75.601837 -2.489797 33.090271
18 75.601837 -2.489797 32.85722
19 75.601837 -2.489797 30.390107
20 75.601837 -2.489797 35.171062
21 75.601837 -2.489797 35.191831
22 75.601837 -2.489797 36.392123
23 75.601837 -2.489797 36.406969
NOT IMPROVING !!!!!!
24 75.601837 -2.489797 29.919919
25 75.601837 -2.489797 31.102155
26 75.601837 -2.489797 36.503963
27 75.601837 -2.489797 36.222723
28 75.601837 -2.489797 31.587249
NOT IMPROVING !!!!!!
29 75.601837 -2.489797 29.422205
