

gen best mean std
0 57.273152 -1.896027 9.863621
1 57.273152 -1.896027 13.163645
2 66.091917 -1.896027 17.482598
3 66.091917 -1.896027 19.889637
4 66.091917 -1.896027 21.052639
5 66.091917 -1.896027 21.851799
6 66.091917 -1.896027 24.656617
7 66.091917 -1.896027 29.776869
8 66.091917 -1.896027 29.867615
9 66.091917 -1.896027 31.416142
10 66.091917 -1.896027 31.79498
11 66.091917 -1.896027 26.679578
12 66.091917 -1.896027 28.026204
13 75.091917 -1.896027 29.849455
14 75.091917 -1.896027 31.962895
15 75.091917 -1.896027 31.059962
16 75.091917 -1.896027 27.18293
17 75.091917 -1.896027 31.381093
18 75.091917 -1.896027 31.223126
19 75.091917 -1.896027 30.713301
20 75.091917 -1.896027 28.76711
21 75.091917 -1.896027 29.695016
22 75.091917 -1.896027 30.497123
23 75.091917 -1.896027 26.398771
24 75.091917 -1.896027 31.55429
25 94.023266 -1.896027 30.070748
26 94.023266 -1.896027 27.649472
27 94.023266 -1.896027 32.424539
NOT IMPROVING !!!!!!
28 94.023266 -1.896027 33.259898
29 94.023266 -1.896027 28.908307
