

gen best mean std
0 57.601837 -2.45727 8.342142
1 57.601837 -2.45727 10.918534
2 57.601837 -2.45727 13.923694
3 66.100103 -2.45727 19.422398
4 66.100103 -2.45727 20.339457
5 66.100103 -2.45727 22.974695
6 66.100103 -2.45727 25.210592
7 66.100103 -2.45727 29.380427
8 66.100103 -2.45727 28.487079
9 75.091917 -2.45727 26.037733
10 75.091917 -2.45727 32.875764
11 75.091917 -2.45727 32.05282
12 75.091917 -2.45727 31.093216
13 75.091917 -2.45727 33.202684
NOT IMPROVING !!!!!!
14 75.091917 -2.45727 32.534104
15 75.091917 -2.45727 29.877164
16 75.091917 -2.45727 34.397417
17 75.091917 -2.45727 28.605732
18 75.091917 -2.45727 34.562292
NOT IMPROVING !!!!!!
19 75.219256 -2.45727 31.162042
20 75.219256 -2.45727 28.594219
21 75.219256 -2.45727 34.444968
22 75.219256 -2.45727 29.19632
23 75.219256 -2.45727 28.990786
24 75.219256 -2.45727 33.513882
25 75.219256 -2.45727 31.824015
26 75.219256 -2.45727 31.068372
27 75.219256 -2.45727 35.41994
NOT IMPROVING !!!!!!
28 75.219256 -2.45727 31.333557
29 75.219256 -2.45727 28.830834
