

gen best mean std
0 57.601837 -2.225874 8.95741
1 57.601837 -2.027561 9.076159
2 57.601837 -2.012019 9.070297
3 57.601837 -1.994146 9.063738
4 57.601837 -1.977725 9.057619
5 57.601837 -1.965716 9.052985
6 57.601837 -1.954763 9.048774
7 57.601837 -1.950911 9.047368
8 57.601837 -1.944431 9.045218
9 57.601837 -1.670157 9.345039
10 57.601837 -1.571017 9.354056
11 57.601837 -1.215155 9.631613
12 57.601837 -1.213177 9.630799
13 57.601837 -1.201174 9.626105
14 57.601837 -1.192617 9.622726
15 57.601837 -1.157062 9.612863
16 57.601837 -1.056681 9.616182
17 57.601837 -0.954515 9.619528
18 57.601837 -0.947178 9.616389
19 57.601837 -0.675142 9.872278
20 57.601837 -0.575159 9.873225
21 57.601837 -0.392191 9.954846
22 57.601837 -0.299464 9.94994
23 57.601837 -0.03046 10.176297
24 57.601837 0.054213 10.168591
25 57.601837 0.323207 10.36906
26 57.601837 0.420271 10.360329
27 57.601837 0.518895 10.350811
28 57.601837 0.522919 10.348713
29 57.601837 0.882857 10.76531
