

gen best mean std
0 91.858736 5.786346 27.001236
1 91.858736 19.190605 35.599535
2 91.968788 45.211794 42.22008
3 91.968788 56.313134 46.677658
4 92.568788 56.648679 46.937394
5 92.568788 42.978226 48.913301
6 92.568788 61.541516 45.272272
7 93.127729 59.602011 46.036988
8 93.127729 52.78669 47.972986
9 93.127729 45.959268 48.880499
10 93.127729 64.530198 43.992641
11 93.127729 64.533912 44.019126
12 93.127729 68.469544 41.895465
13 93.179465 52.883126 48.056972
14 93.179465 52.890877 48.071333
15 93.179465 43.135583 49.091431
16 93.179465 54.871759 47.658797
17 93.179465 57.839079 46.87727
18 93.179465 52.02844 48.385227
