

gen best mean std
0 31.212508 -2.214212 6.469078
1 39.174 6.734764 11.744522
2 57.16227 17.613516 13.67366
3 57.16227 24.188953 15.952243
4 57.16227 25.98648 18.117099
5 57.16227 31.570815 20.15938
6 57.225448 37.567095 19.952721
7 57.225448 39.570111 19.332212
8 57.225448 43.389359 18.870422
9 66.006039 41.715233 19.06302
10 66.006039 42.409168 20.537624
11 66.054579 43.062402 17.861542
12 66.054579 46.443326 18.176496
13 66.091917 44.48974 20.477797
14 75.091917 41.269835 22.229389
15 75.091917 45.251338 21.971156
16 75.091917 48.430311 21.303272
17 75.091917 47.985658 23.119935
18 75.091917 51.144298 22.003413
19 75.091917 51.682147 24.851337
20 75.091917 50.199219 25.383085
21 75.091917 55.146801 22.368597
22 75.091917 51.397213 24.850362
23 75.091917 52.831696 24.073541
24 75.309641 54.978754 23.252501
25 75.309641 54.932497 23.260694
26 75.309641 56.723359 22.56899
27 75.309641 57.925553 21.567281
28 75.309641 53.971056 23.165297
29 75.309641 51.737172 23.993038
