

gen best mean std
0 21.989365 -2.223377 7.185117
1 21.989365 -2.223377 10.699669
2 57.732142 -2.223377 17.211566
3 57.732142 -2.223377 19.287267
4 57.732142 -2.223377 19.153377
5 57.732142 -2.223377 19.279048
6 57.732142 -2.223377 19.607819
7 66.094638 -2.223377 20.496894
8 66.094638 -2.223377 20.059216
9 66.094638 -2.223377 20.613569
10 74.654364 -2.223377 20.802043
11 74.654364 -2.223377 21.694053
12 74.952628 -2.223377 21.083718
13 91.325069 -2.223377 21.382084
14 91.325069 -2.223377 25.120322
15 91.325069 -2.223377 26.807001
16 91.325069 -2.223377 27.366005
17 91.325069 -2.223377 30.998225
18 91.325069 -2.223377 29.230662
19 91.325069 -2.223377 30.51099
20 91.325069 -2.223377 28.659338

gen best mean std
20 91.325069 70.706144 28.659338
21 91.325069 70.706144 26.760788
22 91.325069 70.706144 24.115098
23 91.325069 70.706144 26.2625
