

gen best mean std
0 30.234809 -2.531767 6.466053
1 30.234809 0.129725 8.580528
2 57.601837 3.253162 12.176192
3 57.601837 6.333663 12.574248
4 57.601837 8.332847 12.526917
5 57.601837 10.25336 11.880317
6 57.601837 11.836686 10.951161
7 57.601837 14.153911 11.798053
8 57.601837 14.607643 11.683398
9 57.601837 15.682407 11.738765
10 94.023266 17.211311 13.942615
11 94.023266 17.816889 13.652457
12 94.023266 18.624524 14.011623
13 94.023266 19.664385 13.761397
14 94.023266 20.353159 13.355477
15 94.023266 21.056953 12.870429
16 94.023266 21.39839 12.5344
17 94.023266 21.742113 12.298634
18 94.023266 21.901995 12.137305
19 94.023266 22.116246 12.035121
20 94.023266 22.763332 11.887811
21 94.023266 23.206641 12.069871
22 94.023266 23.388084 11.980596
23 94.023266 23.774248 11.839258
24 94.023266 24.297946 11.739449
25 94.023266 24.736055 11.473887
26 94.023266 24.911482 11.362152
27 94.023266 24.911482 11.362152
28 94.023266 25.351946 11.745483
29 94.023266 25.437838 11.6873
