

gen best mean std
0 91.858736 14.665022 32.401
1 91.933573 14.665022 33.854823
2 92.179644 14.665022 17.26293
3 92.179644 14.665022 8.302425
4 92.179644 14.665022 1.194196
5 92.179644 14.665022 0.843633
6 92.533573 14.665022 0.174894
7 92.612614 14.665022 0.133529
8 92.612614 14.665022 0.150481
9 92.612614 14.665022 0.149204
10 92.612614 14.665022 0.148363
11 92.612614 14.665022 0.169504
12 92.612614 14.665022 0.17568
13 92.643172 14.665022 0.198657
14 92.643172 14.665022 0.222994
15 92.643172 14.665022 0.231141
16 92.643172 14.665022 0.237346
17 92.643172 14.665022 0.261209
18 92.686571 14.665022 0.278702
19 92.686571 14.665022 0.276412
20 92.686571 14.665022 0.281073
21 92.686571 14.665022 0.283907
22 92.686571 14.665022 0.285298
23 92.686571 14.665022 0.286761
24 93.635214 14.665022 0.31153
25 93.635214 14.665022 0.286122
26 93.635214 14.665022 0.264013
27 93.635214 14.665022 0.211032
28 93.635214 14.665022 0.186068
29 93.635214 14.665022 0.134065
