

gen best mean std
0 91.843172 10.446472 28.756196
1 92.133573 32.547169 34.328781
2 92.168788 56.89549 27.279008
3 92.168788 61.467574 38.082661
4 92.533573 80.977986 18.641512
5 92.643172 82.11117 17.293458
6 92.718596 83.722372 16.365647
7 92.718596 83.972728 17.629164
8 93.327729 72.466132 36.969041
9 93.327729 84.898566 18.849972
10 93.327729 88.0682 10.450666
11 93.327729 72.526152 38.09793
12 93.327729 83.181607 20.638437
13 93.327729 86.685871 13.966259
14 93.327729 69.810364 39.606695
15 93.327729 86.44407 15.843501
16 93.327729 86.957288 15.033353
17 93.327729 72.443533 37.313683
18 93.327729 86.462839 15.763845
19 93.327729 85.863654 17.708416
20 93.327729 73.555715 36.508514
21 93.327729 89.132927 12.728941
22 93.327729 92.016093 0.472075
23 93.327729 70.003783 39.337687
24 93.327729 86.849433 17.026812
25 93.327729 88.549439 12.536202
26 93.327729 72.160761 37.045387
27 93.327729 85.319615 16.641457
28 93.327729 89.395963 9.04715
29 93.327729 71.891559 38.263351
