

gen best mean std
0 66.431655 2.863545 16.801698
1 66.431655 2.872218 16.797099
2 66.431655 2.882973 16.791496
3 66.431655 3.173716 16.877053
4 66.431655 3.179789 16.873807
5 66.431655 3.285376 16.849043
6 66.431655 3.301665 16.840778
7 66.431655 3.414087 16.812728
8 66.431655 3.956034 17.364662
9 66.431655 4.317021 17.529817
10 66.431655 4.317021 17.529817
11 66.431655 4.95143 18.275666
12 66.431655 5.312828 18.412913
13 66.431655 5.333896 18.401102
14 66.431655 5.891388 18.512044
15 66.431655 5.892993 18.511034
16 66.431655 5.893022 18.511016
17 66.431655 5.895651 18.509365
18 66.431655 5.896096 18.509083
19 66.431655 5.896483 18.508838
20 66.431655 6.45403 18.567114
21 66.431655 6.906401 18.634129
22 66.431655 6.922169 18.62384
23 66.431655 7.282346 18.721726
24 66.431655 7.642642 18.812123
25 66.431655 7.74249 18.766799
26 87.168118 8.956323 20.305536
27 87.168118 8.97491 20.29284
28 87.168118 9.35047 20.234194
29 87.168118 10.380007 21.538988
