

gen best mean std
0 75.200907 2.126104 18.1121

gen best mean std
0 74.904175 5.170903 21.011308

gen best mean std
0 66.431655 5.310881 20.320417
1 75.200907 10.253857 23.094396
2 75.200907 13.564715 23.823247
3 75.200907 19.878149 23.066036
4 75.200907 23.188558 22.398305
5 85.84563 27.840221 21.082965
6 87.224051 33.363797 20.265694
7 87.224051 34.157304 19.62886
8 87.224051 36.436535 18.621853
9 87.224051 38.139361 18.142125
10 87.224051 40.680849 17.954544
11 87.224051 41.704336 18.372801
12 87.224051 41.839261 18.24593
13 87.224051 41.938275 18.156398
14 87.224051 42.897533 18.290462
15 87.224051 44.019275 17.473903
16 87.224051 44.694595 17.274494
17 87.224051 46.968722 16.487841
18 87.224051 47.830373 16.389829
19 87.224051 48.747037 16.272094
20 87.224051 49.574104 16.089935
