gen best mean std
0 93.392828 10.640106 28.569175
1 93.392828 35.578956 39.328097
2 93.864803 60.105539 35.74983
3 93.936796 79.885965 22.103628
4 93.969651 82.236419 19.895068
5 93.969651 68.054737 39.735728
6 93.969651 85.914713 18.174033
7 94.222788 90.18308 7.496583
8 94.229567 90.508893 7.142862
9 94.337198 90.553758 5.901176
10 94.387727 90.539467 6.084158
11 94.387727 71.367438 38.362695
12 94.387727 86.766754 19.410314
13 94.387727 91.076121 7.724144
14 94.387727 71.446266 38.836811
15 94.387727 88.586614 16.716438
16 94.550514 89.979928 8.396427
17 94.550514 72.608862 37.901089
18 94.550514 90.839942 7.022419
19 94.550514 91.281208 6.370991
20 94.550514 74.417036 36.639302
21 94.550514 91.344229 5.894023
22 94.550514 91.884291 3.065997
23 94.824803 69.303507 40.620829
24 94.824803 91.708099 8.166514
25 94.824803 92.021486 1.600358
26 94.824803 72.261237 37.888632
27 94.824803 89.450341 13.817584
28 94.824803 88.985891 12.769238
29 94.824803 73.853751 36.679769
