gen best mean std
0 93.392828 9.689219 28.189251
1 93.885064 31.061859 38.773405
2 94.204826 60.695171 36.823769
3 94.237666 82.335108 18.469038
4 94.237666 87.690663 10.596417
5 94.237666 87.33161 14.108998
6 94.237666 71.74311 37.667559
7 94.237666 86.667185 16.833189
8 94.283754 87.555375 14.769921
9 94.283754 71.312123 38.596474
10 94.283754 85.516724 21.226896
11 94.283754 88.831825 13.646294
12 94.283754 70.98833 40.140573
13 94.283754 87.284616 19.532499
14 94.283754 91.608895 4.789979
15 94.283754 70.968794 40.019975
16 94.283754 92.316028 1.807906
17 94.283754 91.334218 7.564511
18 94.283754 71.184454 39.695354
19 94.283754 86.920892 19.365134
20 94.283754 90.595307 12.474978
21 94.283754 71.265372 39.531786
22 94.283754 89.473932 16.053815
23 94.283754 89.948647 12.80398
24 94.283754 72.580146 38.266919
25 94.283754 89.635474 15.199356
26 94.283754 88.924329 15.816039
27 94.283754 71.334621 38.653297
28 94.283754 89.112397 15.203486
29 94.283754 91.65483 5.23828

gen best mean std
29 94.283754 91.65483 5.23828
