

gen best mean std
0 93.092828 9.089324 27.860362
1 93.757323 30.875092 39.227259
2 93.757323 61.781531 37.428057
3 94.389365 77.754602 25.107256
4 94.389365 82.790072 19.485855
5 94.389365 70.957178 38.103703
6 94.389365 84.67234 21.348855
7 94.389365 87.354211 14.625726
8 94.389365 73.96831 36.83589
9 94.389365 86.730319 18.450203
10 94.389365 89.678552 9.390204
11 94.389365 72.296379 38.334633
12 94.389365 85.419156 23.254879
13 94.389365 90.353228 10.933502
14 94.389365 71.628619 39.647614
15 94.389365 88.145759 18.320719
16 94.389365 89.468254 13.69302
17 94.389365 75.778202 35.455475
18 94.389365 86.310436 20.076297
19 94.389365 88.82778 14.155578
20 94.389365 71.609766 38.637804
21 94.389365 86.030439 20.395198
22 94.389365 89.90177 11.62486
23 94.389365 73.74616 36.962276
24 94.389365 88.783415 15.164566
25 94.389365 90.685211 8.625656
26 94.389365 72.231111 38.505577
27 94.584803 87.423571 19.847313
28 94.584803 91.117375 9.172361
29 94.584803 90.087204 12.940898
