

gen best mean std
0 57.98272 0.602284 14.44357
1 75.036421 13.44825 24.037853
2 88.156695 36.935615 24.779699
3 88.156695 53.259716 21.905893
4 88.156695 55.794842 23.682437
5 88.228142 56.683734 23.57223
6 89.05004 57.086541 23.850222
7 89.05004 60.258584 21.305006
8 89.05004 58.433154 23.251741
9 89.05004 62.482818 21.877397
10 89.726611 64.696058 22.733283
11 89.726611 67.490067 20.081594
12 89.726611 63.616233 22.600168
13 90.856695 64.495099 20.60525
14 90.856695 66.124153 20.893379
15 90.856695 68.132485 20.61906
16 90.856695 66.315144 23.296961

gen best mean std
16 90.856695 66.315144 23.296961
17 90.856695 63.593117 25.544886
18 90.979361 69.309761 21.291799
19 90.979361 70.082192 21.991908
